store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
Assawoman Ale Shoppe & Subway,34.32,43.8,54.78,52.99,25.23,11.52,11.63,13.92,27.63,0.0,64.4,90.23,35.87,182.26
Atlantis Fresh Market  #7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,429.83,459.8,74.55,894.61
Atlantis Fresh Market #106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,1.89,22.69
Atlantis Fresh Market #11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.71,213.3,43.75,525.01
Atlantis Fresh Market #142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.31,75.49,17.57,210.8
Atlantis Fresh Market #156,165.25,572.55,562.7,350.75,484.55,541.75,892.95,783.48,1150.61,785.76,959.64,610.45,655.04,3506.46
Atlantis Fresh Market #187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.42,948.95,185.7,2228.37
Atlantis Fresh Market #190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.24,2.87
Atlantis Fresh Market #20,76.65,201.5,373.4,222.95,331.8,415.9,276.8,298.35,554.0,702.48,371.36,408.14,352.78,2035.98
Atlantis Fresh Market #23,0.0,12.25,0.0,0.0,0.0,0.0,3.25,0.0,31.3,111.8,205.49,27.69,32.65,376.28
Atlantis Fresh Market #3,7.2,86.95,112.05,36.55,28.6,55.0,118.05,140.6,158.8,183.48,280.23,104.15,109.31,726.66
Atlantis Fresh Market #30,35.15,166.75,145.3,99.6,161.25,207.45,141.05,81.95,127.5,274.91,720.58,678.62,236.68,1801.61
Atlantis Fresh Market #34,12.45,46.35,54.55,47.7,39.8,9.45,103.15,65.05,83.3,120.63,191.52,111.73,73.81,507.18
Atlantis Fresh Market #36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.05,163.43,23.54,282.48
Atlantis Fresh Market #44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.94,54.45,19.37,232.39
Atlantis Fresh Market #508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,329.69,30.23,362.79
Atlantis Fresh Market #513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.11,66.25,13.2,158.36
Atlantis Fresh Market #521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04,0.0,1.75,21.04
Atlantis Fresh Market #524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.22,352.62,43.99,527.84
Atlantis Fresh Market #529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.42,125.55,19.0,227.97
Atlantis Fresh Market #540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.57,304.05,38.63,463.62
Atlantis Fresh Market #549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.86,73.73,10.55,126.59
Atlantis Fresh Market #560,54.45,94.6,58.8,126.65,89.8,48.65,145.95,83.7,70.7,195.89,208.8,216.7,116.22,692.09
Atlantis Fresh Market #563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.12,363.21,38.69,464.33
Atlantis Fresh Market #69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.9,85.52,17.7,212.42
Atlantis Fresh Market #73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.87,0.74,8.87
Atlantis Fresh Market #74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.54,0.0,1.54,18.54
Atlantis Fresh Market #89,6.95,90.75,112.6,187.85,182.0,218.4,121.95,172.8,195.3,246.92,624.82,258.97,201.61,1326.01
Atlantis Fresh Market #9,33.45,374.3,80.3,179.6,179.4,244.2,217.4,334.0,296.35,615.8,677.97,467.23,308.33,2057.35
Atlantis Fresh Market #91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,2.38,28.57
Atlantis Fresh Market #92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,199.2,236.79,36.98,443.74
Autumn Grove Tiger Mart & Subway,0.0,63.96,83.33,12.72,63.6,14.16,2.08,15.46,0.0,7.58,36.19,28.52,27.3,72.29
"B-IN Gas (Parent Petroleum, Inc.)",84.5,349.24,426.34,195.7,237.37,284.62,434.63,228.24,273.76,250.75,246.44,71.88,256.96,842.83
Bellmore Market and Lotto,74.8,212.5,201.7,258.95,92.55,190.35,145.05,93.95,272.15,121.85,268.8,47.95,165.05,710.75
Big Bad BBQ (Macdoel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,0.88,10.58
Big Bad BBQ (Washburn Chevron),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.83,3276.97,354.57,4254.8
Big Boss Country Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.23,9.27,111.23
Big Boss Stores 11 - Partin Dr N,0.0,10.76,129.66,110.09,147.24,234.56,460.79,188.58,261.16,258.04,293.76,93.17,182.32,906.13
Big Boss Stores 3 - Emerald Coast Pkwy,0.0,102.44,996.95,697.89,195.03,115.96,229.68,157.01,268.69,618.74,886.09,352.09,385.05,2125.61
Big Boss Stores 4 - US-331,0.0,20.95,103.12,63.58,45.87,160.92,134.01,86.01,111.47,256.74,125.09,66.6,97.86,559.9
Boston Convenience,0.0,0.0,0.0,0.0,0.0,0.0,11.98,0.0,6.48,0.0,0.0,0.0,1.54,6.48
Bowie Exxon,0.0,37.82,28.53,32.55,0.0,12.16,50.64,63.63,46.11,11.76,0.0,20.36,25.3,78.23
Brinkley Sunoco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.39,0.0
Broadway Liquors,280.89,267.97,320.05,281.47,493.28,468.37,606.01,21.84,508.56,580.22,515.44,276.01,385.01,1880.23
Browning Street Mini Mart,0.0,320.61,447.75,450.19,243.83,375.82,241.13,500.77,304.41,235.81,259.88,112.3,291.04,912.4
Burnham Grocers and Liquors,39.77,157.36,247.98,473.94,298.17,486.85,716.8,611.19,792.83,533.2,662.17,425.9,453.85,2414.1
CFM 37 Bethlehem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.53,13.94,19.86,4.61,55.33
CFM 3887 Shadyside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,129.66,182.08,37.32,86.28,39.58,435.34
CFM 7 Yorkville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66,123.13,141.11,84.85,125.92,41.14,475.01
CFM 90 Penn Ave Weirton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,47.75,15.35,153.41,47.01,23.55,263.52
CFM Express 15 St Clairsville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.66,160.74,257.99,241.98,57.16,77.88,717.87
Cambridge Goose Creek & Subway,32.81,65.73,288.01,178.06,240.61,100.85,102.61,203.7,172.5,108.37,199.66,224.44,159.78,704.97
Campus Way Exxon,0.0,27.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0
Centre Ridge Exxon,0.0,0.0,0.0,0.0,97.92,85.63,273.19,154.13,147.64,418.63,207.04,192.89,131.42,966.2
Chatham Liquor Store,248.67,793.48,505.05,657.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,184.35,7.17
Cheers!,14.68,13.17,37.69,55.17,50.24,121.33,54.41,22.82,21.92,11.85,36.59,168.59,50.71,238.95
Chevron Food Mart - Buford,276.46,1071.44,795.6,861.17,1328.99,1069.72,1229.47,1136.79,1790.8,1293.86,1022.25,526.5,1033.59,4633.41
Chevron Food Mart - Stone Mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,0.0,0.58,6.99
Chicken King (6th Street),0.0,0.0,0.0,545.05,536.58,1084.51,585.84,378.74,1693.77,768.78,1014.23,1021.33,635.74,4498.11
Chicken King (Aramex Restaurant),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.51,520.24,779.13,120.41,1444.88
Chicken King (Curtner Ave),0.0,0.0,0.0,0.0,223.72,279.53,90.49,115.37,671.43,77.96,255.73,203.83,159.84,1208.95
Chicken King (EL Camino),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.44,75.3,9.64,115.74
Chicken King (Folsom Gas Mart),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,1048.59,88.73,1064.76
Chicken King (Kim Hoang),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.27,1718.63,1424.75,284.05,3408.65
Chicken King (Las Adelitas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.7,1365.44,1198.47,257.22,3086.61
Chicken King (Stockton Blvd),0.0,0.0,90.21,321.33,173.66,433.93,727.34,721.6,1622.56,701.89,0.0,0.0,399.38,2324.45
Chisholm Corner 1,435.19,856.26,1013.52,781.73,462.25,508.75,706.18,372.28,395.88,327.75,541.06,258.55,554.95,1523.24
Chisholm Corner 12,42.97,165.63,168.26,223.38,175.38,243.96,169.52,145.82,139.2,232.22,73.31,35.52,151.26,480.25
Chisholm Corner 19,183.68,252.74,132.87,115.19,129.33,139.05,101.98,144.14,224.04,269.35,187.57,177.42,171.45,858.38
Chisholm Corner 2,291.27,763.6,925.96,679.12,600.19,582.02,526.39,1031.73,648.3,712.47,521.22,391.04,639.44,2273.03
Chisholm Corner 5,143.97,271.35,350.8,423.94,474.39,469.81,534.97,790.28,629.37,703.84,549.43,166.28,459.04,2048.92
Chisholm Corner 7,53.88,19.32,28.52,3.49,0.0,3.98,10.77,0.0,0.0,45.13,3.98,29.11,16.51,78.22
Chop Chop Convenience - Pleasant Street,42.39,247.82,182.72,139.06,220.01,392.55,365.04,325.03,284.83,321.12,654.01,232.97,283.96,1492.93
Chop Chop Convenience Kelly Square,318.44,1093.3,652.69,795.06,976.37,975.1,1433.73,1057.06,1828.43,1164.21,1491.67,700.86,1040.58,5185.17
Chop Chop Convenience Stores - Park Ave.,76.77,212.48,167.0,191.77,229.28,406.01,582.49,334.31,275.76,265.17,134.26,89.48,247.07,764.67
Chop Chop Convenience Stores - Riverside,49.5,224.32,199.85,294.19,239.04,380.67,380.85,341.48,433.94,164.83,200.17,91.99,250.07,890.93
Chop Chop Convenience Stores - Shrewsbury,9.56,15.84,41.54,80.8,0.0,15.46,63.78,8.58,48.37,92.58,26.81,2.79,33.84,170.55
Chop Chop Convenience Stores - Southborough,69.89,79.21,78.04,57.88,42.05,82.2,68.23,82.42,144.27,189.3,198.22,6.77,91.54,538.56
Chop Chop Convenience Stores - Southbridge,43.71,154.83,33.03,266.39,54.35,351.7,193.59,179.23,252.99,319.72,266.72,108.07,185.36,947.5
Churchill Wine and Liquor,0.0,0.0,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.67,0.0
Circle K (10200 N Rodney Parham Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.22,379.52,61.48,737.74
Circle K (10321 Colonel Glenn Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.98,130.44,211.61,29.84,358.03
Circle K (1060 Plantation Blvd),0.0,0.0,0.0,76.97,354.41,864.17,622.2,649.15,686.86,417.14,223.11,229.48,343.62,1556.59
Circle K (109 N Chester St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.07,0.89
Circle K (1106 N Jefferson St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.84,1122.63,618.91,179.36,2152.38
Circle K (1176 Chattahoochee Ave NW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.43,1570.89,739.01,217.94,2615.33
Circle K (118 Country Club Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96,223.09,139.71,33.23,398.76
Circle K (11819 Colonel Glenn Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.49,16.48,7.91,94.97
Circle K (1188 Broward Rd),0.0,0.0,0.0,25.97,236.75,216.12,319.36,317.75,642.79,880.75,1557.88,1091.18,440.71,4172.6
Circle K (11921 Kanis Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11,255.01,0.0,23.76,285.12
Circle K (1220 AR-35),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.68,163.33,25.5,306.01
Circle K (1307 Federal Dr),0.0,0.0,0.0,0.0,0.0,11.56,325.7,275.84,708.22,962.26,1297.78,705.68,357.25,3673.94
Circle K (14314 Spring Hill Dr),0.0,0.0,0.0,106.81,812.92,571.04,468.18,769.59,907.55,547.09,910.62,417.8,459.3,2783.06
Circle K (1600 Pike Ave),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.73,260.21,44.25,530.94
Circle K (1697 Norman Dr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.48,2197.16,1314.32,353.66,4243.96
Circle K (17150 N Alexander Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,241.16,65.88,26.02,312.22
Circle K (1720 Marietta Blvd NW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.76,907.25,379.47,129.46,1553.48
Circle K (1810 Dry Pond Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.56,395.48,256.63,63.97,767.67
Circle K (1896 Piedmont Rd NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.13,1336.4,810.12,242.14,2905.65
Circle K (1945 GA Hwy 211),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65,788.91,341.71,95.77,1149.27
Circle K (2200 W Point Pkwy),0.0,0.0,0.0,0.0,0.0,64.13,367.56,389.81,531.36,507.86,705.13,344.42,242.52,2088.77
Circle K (23 Mile Rd),0.0,0.0,0.0,0.0,75.84,165.51,228.35,280.43,286.06,339.08,196.11,307.0,156.53,1128.25
Circle K (2457 Whitesville Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,9.87,1.8,21.64
Circle K (2808 W Huntsville Ave),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.17,233.38,43.88,526.55
Circle K (2909 E South Blvd),0.0,0.0,0.0,0.0,0.0,127.68,780.14,479.68,1048.5,882.16,1070.97,558.51,412.3,3560.14
Circle K (3 US Hwy 27 N),0.0,0.0,0.0,45.36,186.87,145.53,191.62,315.45,336.32,585.86,716.88,346.0,239.16,1985.06
Circle K (3106 Jenny Lind Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59,157.22,106.22,23.67,284.03
Circle K (3285 McGinnis Ferry Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.73,2219.27,1302.71,376.23,4514.71
Circle K (3299 Sixes Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6,218.59,176.74,40.58,486.93
Circle K (3301 SW 2nd St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.99,359.35,389.42,66.98,803.76
Circle K (3320 John F Kennedy Blvd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.26,0.0,0.0,0.0,6.6,79.26
Circle K (3390 FL-17),0.0,0.0,0.0,197.36,364.81,657.04,803.08,743.61,815.19,434.15,731.1,339.46,423.82,2319.9
Circle K (3400 Busbee Dr NW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.63,1493.9,777.24,247.23,2966.77
Circle K (3424 US-431),0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49,647.82,620.39,1029.0,373.74,225.29,2670.95
Circle K (3565 Lower Wetumpka Rd),0.0,0.0,0.0,0.0,0.0,91.68,140.06,260.47,278.31,209.14,278.72,123.69,115.17,889.86
Circle K (36 Scotia Dr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.64,58.38,171.47,224.65,279.96,68.34,734.46
Circle K (3601 Flat Shoals Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.58,2189.23,1531.23,434.84,5218.04
Circle K (3991 Johnson Mill Blvd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,288.82,58.81,29.78,357.3
Circle K (4101 Brooken Hill Dr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.83,0.0,15.49,185.83
Circle K (4207 Martin Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8,43.97,8.15,97.77
Circle K (4300 E Broadway St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42,93.86,151.84,22.18,266.12
Circle K (4315 N Crossover Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.65,49.89,8.79,105.54
Circle K (4507 Troy Hwy),0.0,0.0,0.0,0.0,0.0,36.28,369.69,177.18,396.57,445.69,544.99,127.52,174.83,1514.77
Circle K (4601 Northshore Dr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37,18.96,99.26,11.8,141.59
Circle K (5051 Warden Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,0.0,4.31,51.7
Circle K (5101 Vaughn Rd),0.0,0.0,0.0,0.0,0.0,49.53,417.72,273.62,763.11,1444.99,1127.88,408.08,373.74,3744.06
Circle K (5615 Lindsey Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.75,2.79,9.13,109.54
Circle K (6 N Tamiami Trail),0.0,0.0,0.0,115.57,371.05,327.1,406.02,406.01,284.0,144.84,254.53,343.63,221.06,1027.0
Circle K (6201 Colonel Glenn Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,326.22,263.79,49.92,599.0
Circle K (621 N Eastern Blvd),0.0,0.0,0.0,0.0,0.0,63.81,304.03,378.69,418.95,663.08,669.14,262.67,230.03,2013.84
Circle K (6357 Eastern Ave),0.0,0.0,0.0,0.0,817.05,929.46,1309.38,2600.15,2295.21,2607.16,3284.35,1925.28,1314.0,10112.0
Circle K (6420 S University Ave),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.32,153.98,54.52,654.3
Circle K (6629 Jonesboro Rd),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,2085.5,1108.7,370.93,4451.2
Circle K (6658 AL-46),0.0,0.0,0.0,0.0,0.0,0.0,7.98,0.0,45.45,0.0,11.96,8.58,6.16,65.99
Circle K (700 E Broadway St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.78,100.03,29.73,356.81
Circle K (758 W North St),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,386.64,772.58,97.02,1164.2
Circle K (8060 GA-85),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.55,2148.55,1211.24,308.19,3698.34
Circle K (909 Kings Hwy),0.0,0.0,0.0,37.86,538.2,573.3,666.72,1645.65,2075.2,847.1,1073.37,764.37,685.15,4760.04
Circle K (9324 AR-107),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,46.22,152.36,16.96,203.52
Circle K (9811 AR-253),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.12,154.93,94.24,25.69,308.29
Circle K (983 GA-124),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.68,1013.67,271.19,162.63,1951.54
Circle K (Airport Road),0.0,0.0,0.0,77.19,1237.18,1776.93,2158.95,2148.36,2189.76,1613.56,1672.63,943.21,1151.48,6419.16
Circle K (Ave H),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,359.83,882.62,374.91,138.95,1667.34
Circle K (IH 35),0.0,0.0,0.0,19.04,694.96,1525.34,2129.48,3666.67,2588.25,3055.11,3783.59,2015.23,1623.14,11442.18
Circle K (Southfield Rd),0.0,0.0,0.0,0.0,339.58,386.17,554.89,605.34,824.98,759.14,623.04,451.67,378.73,2658.83
Circle K (Westinghouse),0.0,0.0,0.0,172.38,3246.97,4599.42,4736.95,6685.64,8303.27,8859.42,9445.01,5414.23,4288.61,32021.93
Circle K - Front Royal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.28,10.86,130.28
Circle K - Main St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,266.76,324.4,1427.59,1632.26,306.71,3651.01
Circle K Argyle,0.0,0.0,137.47,310.78,314.28,356.48,258.67,331.52,414.93,507.75,666.16,257.36,296.28,1846.2
Circle K Atlantic,0.0,15.92,186.34,228.11,445.35,420.83,415.7,266.92,364.18,301.95,459.04,301.55,283.82,1426.72
